Accounting;Accounting subgroup;Accounting group
Administration fees;Custody fees;Other costs
Accrued interest;Interest;Income
Commission;Other income;Income
Counterparty holding;Holding;Holding
Coupon;Interest;Income
Dividend;Dividend;Income
Duties and taxes;Duties and taxes;Duties and taxes
Fee for retained mail;Custody fees;Other costs
Flat fees;Custody fees;Other costs
Holding;Holding;Holding
Income;Other income;Income
Interest;Interest;Income
Management fees;Management fees;Other costs
Money transfer fees;Custody fees;Other costs
Other Expenses;Custody fees;Other costs
Other Income;Other income;Income
Refund;Other income;Income
Safekeeping charges;Custody fees;Other costs
Security Lending;Other income;Income
Tax deduction;Other income;Income
Transaction fees;Transaction fees;Transaction fees
